seqname	V	D	J	vlen	vdilen	dlen	djilen	jlen
S4249	IGHV3-20*01	IGHD1-1*01	IGHJ2*01	294	5	9	8	42
S4250	IGHV3/OR16-13*01	IGHD2-15*01	IGHJ5*01	294	0	22	3	42
S4251	IGHV4-39*06	IGHD4-17*01	IGHJ4*03	297	1	3	4	47
S4252	IGHV3-64D*06	IGHD3-10*01	IGHJ5*01	294	2	28	11	41
S4253	IGHV2/OR16-5*01	IGHD1/OR15-1a*01	IGHJ4*01	294	6	4	0	42
S4254	IGHV3/OR16-12*01	IGHD2-15*01	IGHJ1*01	294	0	18	10	39
S4255	IGHV3-21*04	IGHD6-6*01	IGHJ4*01	294	7	8	1	42
S4256	IGHV3/OR16-8*01	IGHD1-20*01	IGHJ2*01	294	4	11	7	45
S4257	IGHV3-25*04	IGHD3/OR15-3a*01	IGHJ6*04	291	1	31	0	50
S4258	IGHV3-9*01	IGHD5-18*01	IGHJ4*01	294	0	13	0	48
S4259	IGHV1-24*01	IGHD6-25*01	IGHJ6*04	294	23	10	3	58
S4260	IGHV4-28*01	IGHD3-3*02	IGHJ1*01	289	0	14	0	43
S4261	IGHV4-30-2*02	IGHD1-26*01	IGHJ4*01	294	7	17	1	45
S4262	IGHV3-13*05	IGHD1-20*01	IGHJ1*01	290	6	5	6	51
S4263	IGHV3-30*19	IGHD6-6*01	IGHJ2*01	292	7	16	4	48
S4264	IGHV4-30-4*07	IGHD2-8*02	IGHJ4*03	296	7	19	6	36
S4265	IGHV3-30-3*03	IGHD3-16*02	IGHJ4*03	294	0	26	7	46
S4266	IGHV3-7*02	IGHD3/OR15-3a*01	IGHJ1*01	294	5	28	0	49
S4267	IGHV1-46*01	IGHD2-8*02	IGHJ5*01	294	7	26	4	51
S4268	IGHV3-30-3*03	IGHD1-26*01	IGHJ6*01	294	10	16	13	61
S4269	IGHV3/OR16-9*01	IGHD3-16*02	IGHJ2*01	292	3	37	0	53
S4270	IGHV6-1*02	IGHD6-6*01	IGHJ2*01	302	1	12	6	52
S4271	IGHV7-4-1*04	IGHD1-14*01	IGHJ1*01	293	2	13	3	50
S4272	IGHV3-43*01	IGHD1-1*01	IGHJ2*01	294	6	4	10	53
S4273	IGHV3-35*01	IGHD5-12*01	IGHJ6*03	294	3	1	1	46
S4274	IGHV4-31*04	IGHD4-11*01	IGHJ6*02	294	3	1	6	44
S4275	IGHV1/OR15-9*01	IGHD5-24*01	IGHJ5*02	292	12	2	3	43
S4276	IGHV3-64D*06	IGHD6-6*01	IGHJ3*01	291	7	6	8	49
S4277	IGHV2-26*01	IGHD1-7*01	IGHJ3*01	300	0	14	0	50
S4278	IGHV1-58*01	IGHD5-12*01	IGHJ6*02	293	6	19	6	48
S4279	IGHV3-64D*06	IGHD5-24*01	IGHJ2*01	294	6	15	3	49
S4280	IGHV4-38-2*02	IGHD5/OR15-5a*01	IGHJ2*01	294	7	9	0	51
S4281	IGHV3-38*03	IGHD4-17*01	IGHJ4*03	287	7	7	5	46
S4282	IGHV3-35*01	IGHD3-22*01	IGHJ6*03	292	15	23	2	55
S4283	IGHV2/OR16-5*01	IGHD5-24*01	IGHJ2*01	300	5	7	0	52
S4284	IGHV4-34*04	IGHD5-12*01	IGHJ6*04	291	0	15	1	63
S4285	IGHV3-20*02	IGHD1-14*01	IGHJ4*01	294	7	11	0	43
S4286	IGHV3-38*01	IGHD4/OR15-4a*01	IGHJ6*02	287	0	18	7	57
S4287	IGHV1-8*01	IGHD6-6*01	IGHJ2*01	293	0	12	3	53
S4288	IGHV4-30-4*06	IGHD6-6*01	IGHJ6*03	225	5	14	2	60
S4289	IGHV3-25*04	IGHD3-3*01	IGHJ5*01	294	0	29	9	44
S4290	IGHV1-46*03	IGHD1-1*01	IGHJ6*04	294	0	14	5	63
S4291	IGHV1-18*04	IGHD3-9*01	IGHJ4*03	293	9	31	0	40
S4292	IGHV3-7*01	IGHD1-20*01	IGHJ5*01	294	0	9	4	48
S4293	IGHV3/OR15-7*01	IGHD2-15*01	IGHJ5*01	300	4	21	7	47
S4294	IGHV3-43*01	IGHD5-12*01	IGHJ1*01	293	4	13	4	44
S4295	IGHV3/OR16-8*02	IGHD1-7*01	IGHJ4*03	293	1	12	0	46
S4296	IGHV1/OR15-5*02	IGHD1-14*01	IGHJ3*02	294	2	4	1	45
S4297	IGHV1/OR15-1*02	IGHD1-14*01	IGHJ2*01	291	1	5	0	52
S4298	IGHV3-30*08	IGHD6-25*01	IGHJ3*01	292	7	2	0	45
S4299	IGHV3-49*03	IGHD3-10*01	IGHJ5*01	299	3	29	9	51
S4300	IGHV3/OR16-9*01	IGHD5/OR15-5a*01	IGHJ5*01	293	6	17	0	51
S4301	IGHV1-8*01	IGHD4/OR15-4a*01	IGHJ2*01	292	0	19	0	53
S4302	IGHV3-66*03	IGHD5-12*01	IGHJ4*02	288	4	8	4	48
S4303	IGHV1-69*11	IGHD2-15*01	IGHJ3*02	293	0	28	7	48
S4304	IGHV3/OR16-12*01	IGHD3/OR15-3a*01	IGHJ1*01	294	2	22	2	47
S4305	IGHV3-30-3*02	IGHD5/OR15-5a*01	IGHJ3*01	293	15	11	1	44
S4306	IGHV4-4*06	IGHD4/OR15-4a*01	IGHJ5*01	221	8	19	2	51
S4307	IGHV1-69-2*01	IGHD3-16*01	IGHJ4*02	288	0	32	0	44
S4308	IGHV1/OR15-5*02	IGHD1-14*01	IGHJ6*04	292	0	0	5	58
S4309	IGHV3/OR16-9*01	IGHD3-10*02	IGHJ5*01	293	0	24	8	51
S4310	IGHV3-74*03	IGHD2/OR15-2a*01	IGHJ6*02	289	2	11	4	60
S4311	IGHV2-26*01	IGHD1-14*01	IGHJ6*03	297	14	5	3	62
S4312	IGHV1-45*02	IGHD6-19*01	IGHJ5*02	293	8	7	4	46
S4313	IGHV4-31*02	IGHD5-24*01	IGHJ6*03	297	2	8	0	56
S4314	IGHV2/OR16-5*01	IGHD2/OR15-2a*01	IGHJ1*01	300	3	20	0	41
S4315	IGHV3-21*01	IGHD5-12*01	IGHJ2*01	292	6	16	6	50
S4316	IGHV4-28*06	IGHD1-1*01	IGHJ5*01	293	4	15	4	51
S4317	IGHV3/OR16-12*01	IGHD2-15*01	IGHJ3*01	293	0	30	13	46
S4318	IGHV3-72*01	IGHD3-3*01	IGHJ1*01	299	3	17	0	51
S4319	IGHV1-8*01	IGHD4/OR15-4a*01	IGHJ2*01	293	7	5	13	49
S4320	IGHV3-64*02	IGHD2-2*01	IGHJ6*01	294	7	23	4	63
S4321	IGHV3-NL1*01	IGHD5-24*01	IGHJ5*02	292	0	15	0	36
S4322	IGHV4-38-2*01	IGHD4-23*01	IGHJ6*03	294	5	19	3	57
S4323	IGHV1-2*01	IGHD2-15*01	IGHJ2*01	294	4	24	4	47
S4324	IGHV4-38-2*01	IGHD2-21*02	IGHJ3*02	292	8	27	0	37
S4325	IGHV3-74*03	IGHD1-26*01	IGHJ1*01	294	5	9	0	47
S4326	IGHV4-31*04	IGHD1-14*01	IGHJ6*03	292	10	2	0	53
S4327	IGHV3-15*04	IGHD3-3*01	IGHJ4*02	299	0	29	0	42
S4328	IGHV3-23*02	IGHD7-27*01	IGHJ4*01	291	7	10	10	43
S4329	IGHV3-11*06	IGHD5-24*01	IGHJ2*01	294	0	18	10	48
S4330	IGHV1/OR15-1*01	IGHD5-12*01	IGHJ3*02	293	0	14	4	50
S4331	IGHV1-58*01	IGHD2/OR15-2a*01	IGHJ5*02	293	3	22	4	45
S4332	IGHV3-20*02	IGHD1-26*01	IGHJ4*02	293	8	17	0	43
S4333	IGHV4-28*01	IGHD1/OR15-1a*01	IGHJ2*01	294	12	0	0	40
S4334	IGHV3/OR15-7*01	IGHD1-20*01	IGHJ1*01	298	2	8	7	49
S4335	IGHV3-66*01	IGHD6-19*01	IGHJ2*01	290	7	19	4	53
S4336	IGHV2-26*01	IGHD6-6*01	IGHJ3*02	299	0	11	6	42
S4337	IGHV3-15*05	IGHD3-3*01	IGHJ5*01	300	7	26	1	51
S4338	IGHV4-28*07	IGHD3-9*01	IGHJ4*01	294	6	28	0	39
S4339	IGHV3-64*04	IGHD4-11*01	IGHJ5*02	294	10	8	7	45
S4340	IGHV1-2*02	IGHD2/OR15-2a*01	IGHJ5*01	291	8	22	1	39
S4341	IGHV3-16*02	IGHD6-6*01	IGHJ6*04	293	3	5	9	51
S4342	IGHV3/OR16-8*02	IGHD5/OR15-5a*01	IGHJ1*01	294	3	20	3	50
S4343	IGHV3-48*03	IGHD1/OR15-1a*01	IGHJ2*01	292	4	4	11	47
S4344	IGHV3-30*09	IGHD2-15*01	IGHJ3*02	294	4	26	1	48
S4345	IGHV1-58*02	IGHD4-17*01	IGHJ5*01	293	4	6	3	49
S4346	IGHV3-25*04	IGHD3/OR15-3a*01	IGHJ4*01	294	5	24	5	45
S4347	IGHV4-30-2*01	IGHD7-27*01	IGHJ6*04	296	4	5	3	59
S4348	IGHV3-74*03	IGHD2-2*01	IGHJ4*02	294	4	9	4	47
S4349	IGHV3-20*02	IGHD4-11*01	IGHJ3*01	289	5	4	13	50
S4350	IGHV4-59*08	IGHD6-6*01	IGHJ1*01	289	7	0	8	51
S4351	IGHV3-48*03	IGHD2-8*01	IGHJ6*01	291	6	27	7	63
S4352	IGHV3-66*01	IGHD3-9*01	IGHJ6*03	291	0	9	0	54
S4353	IGHV1-69D*01	IGHD3/OR15-3a*01	IGHJ6*03	294	0	24	7	56
S4354	IGHV1-69D*01	IGHD5-12*01	IGHJ1*01	294	3	17	4	52
S4355	IGHV3-43D*01	IGHD3/OR15-3a*01	IGHJ4*01	291	4	22	4	43
S4356	IGHV3-9*03	IGHD4/OR15-4a*01	IGHJ4*01	291	2	8	0	48
S4357	IGHV2/OR16-5*01	IGHD4-17*01	IGHJ3*02	299	0	15	3	50
S4358	IGHV3-NL1*01	IGHD2-15*01	IGHJ6*03	293	2	15	10	52
S4359	IGHV3-33*06	IGHD3/OR15-3a*01	IGHJ4*03	294	7	12	4	38
S4360	IGHV4-30-4*06	IGHD2/OR15-2a*01	IGHJ4*01	222	0	27	17	41
S4361	IGHV7-4-1*02	IGHD2-21*01	IGHJ6*03	294	2	21	10	57
S4362	IGHV3-73*02	IGHD3-16*01	IGHJ1*01	299	3	27	4	43
S4363	IGHV3-64D*06	IGHD4-23*01	IGHJ1*01	293	0	6	1	52
S4364	IGHV3-72*01	IGHD6-25*01	IGHJ5*02	294	0	13	12	45
S4365	IGHV4-30-4*07	IGHD3-3*01	IGHJ3*02	296	0	8	6	48
S4366	IGHV3-53*04	IGHD3/OR15-3a*01	IGHJ4*03	291	2	26	0	36
S4367	IGHV3-74*03	IGHD3-10*02	IGHJ6*01	293	6	26	24	63
S4368	IGHV3-30-3*02	IGHD4-17*01	IGHJ1*01	293	2	14	2	41
S4369	IGHV3-74*01	IGHD3-9*01	IGHJ2*01	293	15	25	1	48
S4370	IGHV1/OR15-9*01	IGHD1-26*01	IGHJ6*03	292	4	11	5	60
S4371	IGHV1-2*03	IGHD1-20*01	IGHJ2*01	293	0	6	3	53
S4372	IGHV1-2*04	IGHD1-14*01	IGHJ6*01	294	0	14	2	63
S4373	IGHV1-3*01	IGHD4-17*01	IGHJ4*03	293	15	13	1	39
S4374	IGHV3-13*05	IGHD1/OR15-1a*01	IGHJ5*02	291	14	10	4	51
S4375	IGHV2-5*02	IGHD1-26*01	IGHJ3*01	299	1	10	1	50
S4376	IGHV3-30-3*01	IGHD2/OR15-2a*01	IGHJ2*01	294	9	23	4	49
S4377	IGHV1/OR21-1*01	IGHD2-15*01	IGHJ2*01	294	7	24	4	53
S4378	IGHV3-13*04	IGHD5-12*01	IGHJ2*01	291	0	14	3	53
S4379	IGHV3-13*01	IGHD5-24*01	IGHJ2*01	288	8	2	3	48
S4380	IGHV4-30-4*07	IGHD3-10*02	IGHJ6*03	292	0	27	2	60
S4381	IGHV2-70*01	IGHD3-22*01	IGHJ6*03	299	4	30	9	57
S4382	IGHV4-4*07	IGHD1-14*01	IGHJ6*03	290	0	11	6	62
S4383	IGHV3-33*04	IGHD4-23*01	IGHJ5*01	293	9	4	0	40
S4384	IGHV4/OR15-8*03	IGHD3-16*02	IGHJ2*01	293	12	32	9	48
S4385	IGHV3-NL1*01	IGHD2-2*01	IGHJ1*01	294	0	29	0	47
S4386	IGHV3-9*02	IGHD1-1*01	IGHJ6*04	294	9	5	8	63
S4387	IGHV3-43D*01	IGHD3/OR15-3a*01	IGHJ2*01	294	0	19	10	47
S4388	IGHV3-21*04	IGHD3/OR15-3a*01	IGHJ2*01	288	0	18	0	49
S4389	IGHV1-58*01	IGHD2-15*01	IGHJ4*03	294	7	13	0	44
S4390	IGHV4-30-4*07	IGHD7-27*01	IGHJ3*02	295	13	0	1	49
S4391	IGHV4-61*05	IGHD1-1*01	IGHJ6*02	296	0	14	6	62
S4392	IGHV4-34*04	IGHD6-19*01	IGHJ2*01	291	4	10	1	52
S4393	IGHV3-73*01	IGHD3-16*02	IGHJ4*01	299	7	27	0	37
S4394	IGHV1/OR15-9*01	IGHD6-25*01	IGHJ6*03	293	13	11	0	58
S4395	IGHV3-20*01	IGHD5-12*01	IGHJ4*03	293	2	21	0	48
S4396	IGHV2-5*08	IGHD1/OR15-1a*01	IGHJ2*01	299	0	0	5	48
S4397	IGHV1-3*02	IGHD5-12*01	IGHJ1*01	294	3	10	0	48
S4398	IGHV3-30*16	IGHD4-23*01	IGHJ6*02	294	7	11	4	56
S4399	IGHV3/OR16-8*02	IGHD6-25*01	IGHJ3*01	294	0	0	2	50
S4400	IGHV4-4*07	IGHD3-22*01	IGHJ5*02	291	8	22	0	49
S4401	IGHV1-69-2*01	IGHD5-12*01	IGHJ3*02	294	4	18	9	42
S4402	IGHV1/OR15-1*04	IGHD6-19*01	IGHJ6*02	294	13	13	0	58
S4403	IGHV3/OR16-13*01	IGHD1-7*01	IGHJ4*01	293	6	4	3	43
S4404	IGHV4-59*06	IGHD1-26*01	IGHJ6*02	287	5	20	19	62
S4405	IGHV5-51*03	IGHD6-25*01	IGHJ2*01	291	3	2	3	47
S4406	IGHV3-48*04	IGHD1/OR15-1a*01	IGHJ5*02	294	5	11	5	46
S4407	IGHV4-30-2*02	IGHD1-7*01	IGHJ6*03	292	2	17	0	58
S4408	IGHV2-26*01	IGHD1-20*01	IGHJ4*01	299	12	4	6	40
S4409	IGHV1-18*04	IGHD4-17*01	IGHJ2*01	292	1	0	12	53
S4410	IGHV3-7*02	IGHD3-10*01	IGHJ3*01	291	7	27	3	42
S4411	IGHV3-30*03	IGHD2-21*02	IGHJ1*01	294	2	28	4	51
S4412	IGHV4/OR15-8*01	IGHD5-24*01	IGHJ3*01	293	6	15	1	49
S4413	IGHV6-1*01	IGHD4-23*01	IGHJ3*02	303	7	11	5	47
S4414	IGHV1-3*02	IGHD3-3*02	IGHJ3*02	294	3	25	1	50
S4415	IGHV6-1*02	IGHD2-21*02	IGHJ5*02	302	12	13	3	49
S4416	IGHV3-38-3*01	IGHD3/OR15-3a*01	IGHJ2*01	288	0	16	0	39
S4417	IGHV3-25*04	IGHD1-20*01	IGHJ1*01	289	7	10	8	44
S4418	IGHV6-1*01	IGHD6-13*01	IGHJ1*01	302	12	21	0	47
S4419	IGHV4-38-2*01	IGHD3/OR15-3a*01	IGHJ1*01	291	1	14	2	47
S4420	IGHV1-69D*01	IGHD6-6*01	IGHJ4*02	294	3	5	4	46
S4421	IGHV3-43*01	IGHD4-23*01	IGHJ5*02	293	12	13	1	51
S4422	IGHV3/OR16-6*02	IGHD4-11*01	IGHJ2*01	300	7	14	13	51
S4423	IGHV3-74*01	IGHD4-23*01	IGHJ4*02	292	0	19	5	48
S4424	IGHV3-66*01	IGHD3-22*01	IGHJ1*01	285	13	25	0	38
S4425	IGHV4-28*04	IGHD2-15*01	IGHJ4*01	292	4	29	5	43
S4426	IGHV3-11*04	IGHD1-26*01	IGHJ6*04	288	0	6	18	58
S4427	IGHV2-70D*04	IGHD3-9*01	IGHJ5*01	300	7	24	0	51
S4428	IGHV3-15*05	IGHD2-15*01	IGHJ5*02	300	6	23	9	50
S4429	IGHV3-16*01	IGHD6-6*01	IGHJ3*02	291	1	6	2	46
S4430	IGHV2-26*01	IGHD6-6*01	IGHJ1*01	299	0	5	0	48
S4431	IGHV4-30-2*03	IGHD6-6*01	IGHJ4*01	297	4	14	12	43
S4432	IGHV3-74*01	IGHD5-18*01	IGHJ4*01	294	9	9	0	46
S4433	IGHV3-43*01	IGHD1-20*01	IGHJ6*04	294	10	9	3	63
S4434	IGHV4-31*01	IGHD3-16*01	IGHJ3*02	294	3	28	0	42
S4435	IGHV3-7*02	IGHD1-26*01	IGHJ1*01	293	0	10	9	46
S4436	IGHV3-21*02	IGHD6-25*01	IGHJ1*01	293	7	17	3	50
S4437	IGHV7-81*01	IGHD1-26*01	IGHJ1*01	290	2	16	0	47
S4438	IGHV4-61*05	IGHD1/OR15-1a*01	IGHJ2*01	296	12	3	0	53
S4439	IGHV3-43*01	IGHD4-23*01	IGHJ5*02	293	0	9	5	48
S4440	IGHV2-26*01	IGHD3-16*01	IGHJ4*01	293	2	37	6	38
S4441	IGHV1-3*02	IGHD4-17*01	IGHJ6*01	291	2	0	14	60
S4442	IGHV3-48*03	IGHD3/OR15-3a*01	IGHJ2*01	293	4	13	0	48
S4443	IGHV5-51*02	IGHD1-7*01	IGHJ5*02	294	12	2	0	47
S4444	IGHV5-10-1*04	IGHD2-2*01	IGHJ4*03	294	3	26	2	39
S4445	IGHV3/OR16-6*02	IGHD2-21*01	IGHJ2*01	298	4	26	0	48
S4446	IGHV3-15*06	IGHD6-19*01	IGHJ1*01	297	0	21	9	46
S4447	IGHV3-9*01	IGHD4-23*01	IGHJ6*03	293	9	9	4	54
S4448	IGHV2-26*01	IGHD3/OR15-3a*01	IGHJ3*02	299	7	24	9	46
S4449	IGHV3/OR16-10*01	IGHD2/OR15-2a*01	IGHJ3*02	291	5	30	1	40
S4450	IGHV1-46*02	IGHD1/OR15-1a*01	IGHJ5*02	294	15	8	0	47
S4451	IGHV3-72*01	IGHD1-1*01	IGHJ5*02	300	7	11	2	50
S4452	IGHV3-38*02	IGHD5-24*01	IGHJ6*01	288	4	12	3	63
S4453	IGHV4/OR15-8*02	IGHD4-11*01	IGHJ5*01	294	1	13	10	43
S4454	IGHV3-7*01	IGHD3-10*01	IGHJ1*01	289	7	25	4	48
S4455	IGHV3-38-3*01	IGHD4/OR15-4a*01	IGHJ3*02	288	8	17	3	45
S4456	IGHV2/OR16-5*01	IGHD3/OR15-3a*01	IGHJ5*02	299	13	27	24	49
S4457	IGHV2-26*01	IGHD4-11*01	IGHJ3*01	300	2	9	8	45
S4458	IGHV3/OR16-8*01	IGHD2-2*01	IGHJ3*01	294	4	25	10	40
S4459	IGHV3-25*04	IGHD6-25*01	IGHJ5*02	293	7	18	0	43
S4460	IGHV3/OR15-7*01	IGHD3-22*01	IGHJ5*01	300	0	22	0	42
S4461	IGHV1-46*03	IGHD3-9*01	IGHJ4*02	294	11	28	3	40
S4462	IGHV3-21*04	IGHD4-23*01	IGHJ4*02	289	7	18	2	42
S4463	IGHV4-31*04	IGHD3-10*02	IGHJ1*01	294	15	18	9	52
S4464	IGHV1-8*02	IGHD6-25*01	IGHJ3*02	294	12	14	0	44
S4465	IGHV3/OR16-6*02	IGHD3-22*01	IGHJ2*01	299	0	27	8	51
S4466	IGHV3-43D*01	IGHD5-24*01	IGHJ1*01	294	7	7	0	35
S4467	IGHV5-10-1*01	IGHD6-13*01	IGHJ1*01	294	8	18	0	47
S4468	IGHV3/OR16-12*01	IGHD2/OR15-2a*01	IGHJ5*02	292	5	28	9	36
S4469	IGHV5-51*03	IGHD1-20*01	IGHJ6*02	291	5	7	0	54
S4470	IGHV6-1*01	IGHD1-1*01	IGHJ2*01	303	4	8	0	40
S4471	IGHV1-69D*01	IGHD5-18*01	IGHJ4*02	294	7	15	6	48
S4472	IGHV4-34*02	IGHD5-18*01	IGHJ4*03	290	10	6	2	41
S4473	IGHV4/OR15-8*02	IGHD5-12*01	IGHJ1*01	294	6	18	8	47
S4474	IGHV3-15*02	IGHD5-18*01	IGHJ6*02	300	13	16	3	58
S4475	IGHV3-30-3*03	IGHD2-15*01	IGHJ4*03	292	4	20	0	48
S4476	IGHV4-34*01	IGHD1-26*01	IGHJ1*01	289	0	17	2	50
S4477	IGHV3-15*08	IGHD4-17*01	IGHJ3*02	299	15	9	0	50
S4478	IGHV4-31*02	IGHD2-2*02	IGHJ4*02	297	7	29	24	43
S4479	IGHV3-15*06	IGHD1-7*01	IGHJ5*01	299	19	15	0	46
S4480	IGHV3-9*02	IGHD1-20*01	IGHJ4*01	290	4	0	3	46
S4481	IGHV3-7*02	IGHD3-16*02	IGHJ3*02	288	2	33	3	44
S4482	IGHV3-64*03	IGHD6-6*01	IGHJ4*02	294	7	14	3	43
S4483	IGHV4-38-2*02	IGHD1-20*01	IGHJ4*02	291	0	17	2	42
S4484	IGHV3-38*01	IGHD5/OR15-5a*01	IGHJ1*01	287	25	22	2	49
S4485	IGHV3-64D*06	IGHD2-2*01	IGHJ5*02	294	0	29	4	37
S4486	IGHV4/OR15-8*02	IGHD1-1*01	IGHJ4*03	294	4	5	6	40
S4487	IGHV4-30-2*04	IGHD2/OR15-2a*01	IGHJ1*01	224	0	22	9	52
S4488	IGHV3-NL1*01	IGHD4/OR15-4a*01	IGHJ3*01	293	0	15	3	50
S4489	IGHV3-43*01	IGHD2-21*01	IGHJ6*02	294	0	15	8	49
S4490	IGHV3-66*03	IGHD5-12*01	IGHJ6*03	291	21	23	0	58
S4491	IGHV3-43*02	IGHD1/OR15-1a*01	IGHJ6*04	294	13	12	1	62
S4492	IGHV3-9*01	IGHD6-19*01	IGHJ1*01	293	7	15	0	49
S4493	IGHV3/OR16-6*02	IGHD4/OR15-4a*01	IGHJ2*01	300	0	9	8	38
S4494	IGHV3/OR16-10*02	IGHD6-13*01	IGHJ6*03	285	6	17	0	52
S4495	IGHV1/OR15-5*02	IGHD4-23*01	IGHJ2*01	292	1	16	0	49
S4496	IGHV3-NL1*01	IGHD3-3*02	IGHJ4*03	292	6	15	6	39
S4497	IGHV1-69*10	IGHD2-15*01	IGHJ4*01	294	0	23	3	41
S4498	IGHV1-46*01	IGHD2-21*01	IGHJ3*01	294	0	18	8	50
S4499	IGHV3/OR16-6*02	IGHD6-6*01	IGHJ1*01	300	3	16	3	45
S4500	IGHV3-35*01	IGHD3-9*01	IGHJ6*02	294	2	18	0	49
S4501	IGHV3-NL1*01	IGHD1/OR15-1a*01	IGHJ5*02	294	18	12	3	49
S4502	IGHV1/OR15-1*02	IGHD1-14*01	IGHJ1*01	292	4	3	7	52
S4503	IGHV1-58*01	IGHD1-20*01	IGHJ1*01	288	14	13	8	47
S4504	IGHV4-30-4*06	IGHD2-15*01	IGHJ1*01	224	0	27	0	50
S4505	IGHV3-15*05	IGHD1-20*01	IGHJ1*01	300	5	3	7	52
S4506	IGHV5-10-1*04	IGHD4-23*01	IGHJ2*01	294	2	9	2	45
S4507	IGHV1/OR21-1*01	IGHD2-15*01	IGHJ6*01	293	0	20	3	63
S4508	IGHV3-25*04	IGHD6-25*01	IGHJ2*01	289	1	18	3	47
S4509	IGHV3-43*01	IGHD2/OR15-2a*01	IGHJ6*01	293	0	29	0	63
S4510	IGHV3-21*02	IGHD5-24*01	IGHJ4*03	294	5	16	7	48
S4511	IGHV2-5*09	IGHD6-6*01	IGHJ2*01	300	3	15	0	49
S4512	IGHV3-35*01	IGHD2-21*01	IGHJ1*01	294	0	12	0	52
S4513	IGHV3-13*01	IGHD2-8*02	IGHJ5*01	291	5	0	3	38
S4514	IGHV3-74*03	IGHD1-1*01	IGHJ4*03	294	9	0	6	40
S4515	IGHV3-21*02	IGHD2-2*01	IGHJ1*01	292	3	28	8	42
S4516	IGHV3-30-3*01	IGHD4-23*01	IGHJ1*01	294	6	14	16	52
S4517	IGHV3-7*02	IGHD3-16*01	IGHJ5*02	293	4	7	13	38
S4518	IGHV5-51*04	IGHD6-13*01	IGHJ2*01	294	5	20	13	53
S4519	IGHV5-51*01	IGHD1-26*01	IGHJ4*01	288	4	4	11	42
S4520	IGHV3-30*10	IGHD5-24*01	IGHJ1*01	294	0	13	10	47
S4521	IGHV1-24*01	IGHD2-2*01	IGHJ1*01	294	0	28	7	44
S4522	IGHV4-34*04	IGHD3-3*02	IGHJ5*02	291	13	29	0	46
S4523	IGHV1/OR21-1*01	IGHD1-26*01	IGHJ2*01	290	9	11	4	53
S4524	IGHV1/OR15-1*02	IGHD6-6*01	IGHJ1*01	294	3	6	3	52
S4525	IGHV3-7*01	IGHD5-12*01	IGHJ2*01	292	9	13	4	52
S4526	IGHV3-NL1*01	IGHD2-8*02	IGHJ6*04	292	1	25	1	60
S4527	IGHV2/OR16-5*01	IGHD3-16*02	IGHJ1*01	300	0	33	0	49
S4528	IGHV3-9*03	IGHD2-8*02	IGHJ6*03	294	8	29	1	61
S4529	IGHV2/OR16-5*01	IGHD4/OR15-4a*01	IGHJ1*01	299	0	8	5	52
S4530	IGHV1-3*02	IGHD3-16*02	IGHJ6*01	294	5	26	9	63
S4531	IGHV3-20*01	IGHD3-16*02	IGHJ2*01	294	5	30	8	51
S4532	IGHV3/OR16-9*01	IGHD1-1*01	IGHJ6*03	294	9	9	3	57
S4533	IGHV3-7*03	IGHD1-1*01	IGHJ2*01	288	0	5	7	52
S4534	IGHV3-43D*01	IGHD3/OR15-3a*01	IGHJ1*01	294	4	22	0	44
S4535	IGHV1-2*01	IGHD1-20*01	IGHJ2*01	294	10	12	3	45
S4536	IGHV2-5*04	IGHD3-3*02	IGHJ1*01	294	3	23	8	48
S4537	IGHV2-5*04	IGHD4-17*01	IGHJ4*03	295	12	4	2	42
S4538	IGHV4-38-2*02	IGHD3-9*01	IGHJ3*02	293	0	28	2	50
S4539	IGHV3/OR15-7*05	IGHD6-13*01	IGHJ6*04	300	3	15	12	49
S4540	IGHV3-25*04	IGHD1-1*01	IGHJ6*01	294	15	4	3	63
S4541	IGHV4-31*06	IGHD6-6*01	IGHJ5*01	290	0	14	3	42
S4542	IGHV3-74*03	IGHD2-2*02	IGHJ4*01	292	1	24	0	41
S4543	IGHV3-66*03	IGHD3-10*01	IGHJ6*01	286	13	21	0	56
S4544	IGHV4-59*06	IGHD2-2*03	IGHJ3*01	287	7	13	4	50
S4545	IGHV4-30-2*02	IGHD4-23*01	IGHJ1*01	294	0	7	3	51
S4546	IGHV1-69D*01	IGHD1-7*01	IGHJ6*02	294	6	12	0	60
S4547	IGHV3/OR16-13*01	IGHD1-7*01	IGHJ3*02	291	9	8	6	44
S4548	IGHV3-35*01	IGHD6-25*01	IGHJ2*01	294	0	8	2	45
S4549	IGHV4-59*03	IGHD1/OR15-1a*01	IGHJ2*01	288	7	17	5	53
S4550	IGHV3-16*02	IGHD5-12*01	IGHJ4*03	293	5	11	7	48
S4551	IGHV3-73*02	IGHD2/OR15-2a*01	IGHJ5*01	300	5	31	0	40
S4552	IGHV4-31*05	IGHD3-3*01	IGHJ1*01	290	6	31	2	44
S4553	IGHV3-73*02	IGHD2-15*01	IGHJ5*01	300	14	25	3	49
S4554	IGHV3-66*01	IGHD5-18*01	IGHJ6*01	291	9	17	4	58
S4555	IGHV1/OR15-5*02	IGHD1-14*01	IGHJ4*01	294	0	12	0	40
S4556	IGHV3-49*05	IGHD5/OR15-5a*01	IGHJ1*01	298	0	23	9	52
S4557	IGHV3-15*06	IGHD3-3*01	IGHJ3*01	299	10	13	0	42
S4558	IGHV3/OR16-9*01	IGHD5-24*01	IGHJ3*01	294	12	14	0	50
S4559	IGHV3/OR16-10*03	IGHD1-20*01	IGHJ3*01	290	6	5	0	48
